SampleID	Sample	Experiment	Plant	Fungus	Soil	SampleType	Treatment	TimePoint	DAI	Rep	Concentration_ng.ul
18_GVN7HP1-BS	GVN7HP1-BS	3	GVN7HP1	Gv	Lansing	BS	HP		27	1	
19_GVN7HP2-BH	GVN7HP2-BH	3	GVN7HP2	Gv	Lansing	BH	HP		27	2	
20_GVN7HP2-BS	GVN7HP2-BS	3	GVN7HP2	Gv	Lansing	BS	HP		27	2	
21_RIFLHN1-BH	RIFLHN1-BH	3	RIFLHN1	RI	Florence	BH	HN		27	1	
22_RIFLHN1-BS	RIFLHN1-BS	3	RIFLHN1	RI	Florence	BS	HN		27	1	
23_RIFLHN2-BH	RIFLHN2-BH	3	RIFLHN2	RI	Florence	BH	HN		27	2	
24_RIFLHN2-BS	RIFLHN2-BS	3	RIFLHN2	RI	Florence	BS	HN		27	2	
25_RIFLHP1-BH	RIFLHP1-BH	3	RIFLHP1	RI	Florence	BH	HP		27	1	
26_RIFLHP1-BS	RIFLHP1-BS	3	RIFLHP1	RI	Florence	BS	HP		27	1	
27_RIFLHP2-BH	RIFLHP2-BH	3	RIFLHP2	RI	Florence	BH	HP		27	2	
28_RIFLHP2-BS	RIFLHP2-BS	3	RIFLHP2	RI	Florence	BS	HP		27	2	
29_RIN7HN1-BH	RIN7HN1-BH	3	RIN7HN1	RI	Lansing	BH	HN		27	1	
30_RIN7HN1-BS	RIN7HN1-BS	3	RIN7HN1	RI	Lansing	BS	HN		27	1	
31_RIN7HN2-BH	RIN7HN2-BH	3	RIN7HN2	RI	Lansing	BH	HN		27	2	
32_RIN7HN2-BS	RIN7HN2-BS	3	RIN7HN2	RI	Lansing	BS	HN		27	2	
33_RIN7HP1-BH	RIN7HP1-BH	3	RIN7HP1	RI	Lansing	BH	HP		27	1	
34_RIN7HP1-BS	RIN7HP1-BS	3	RIN7HP1	RI	Lansing	BS	HP		27	1	
35_RIN7HP2-BH	RIN7HP2-BH	3	RIN7HP2	RI	Lansing	BH	HP		27	2	
36_RIN7HP2-BS	RIN7HP2-BS	3	RIN7HP2	RI	Lansing	BS	HP		27	2	
37_GVCLHN1-BP	GVCLHN1-BP	3	GVCLHN1	Gv	Pendelton	BP	HN		27	1	
38_GVCLHN1-CS	GVCLHN1-CS	3	GVCLHN1	Gv	Pendelton	CS	HN		27	1	
39_GVCLHN2-BP	GVCLHN2-BP	3	GVCLHN2	Gv	Pendelton	BP	HN		27	2	
40_GVCLHN2-CS	GVCLHN2-CS	3	GVCLHN2	Gv	Pendelton	CS	HN		27	2	
41_GVFLHN1-BP	GVFLHN1-BP	3	GVFLHN1	Gv	Florence	BP	HN		27	1	
42_GVFLHN1-CS	GVFLHN1-CS	3	GVFLHN1	Gv	Florence	CS	HN		27	1	
43_GVFLHN2-BP	GVFLHN2-BP	3	GVFLHN2	Gv	Florence	BP	HN		27	2	
44_GVFLHN2-CS	GVFLHN2-CS	3	GVFLHN2	Gv	Florence	CS	HN		27	2	
45_GVFLHP1-BP	GVFLHP1-BP	3	GVFLHP1	Gv	Florence	BP	HP		27	1	
46_GVFLHP1-CS	GVFLHP1-CS	3	GVFLHP1	Gv	Florence	CS	HP		27	1	
47_GVFLHP2-BP	GVFLHP2-BP	3	GVFLHP2	Gv	Florence	BP	HP		27	2	
48_GVFLHP2-CS	GVFLHP2-CS	3	GVFLHP2	Gv	Florence	CS	HP		27	2	
49_GVN7HN1-BP	GVN7HN1-BP	3	GVN7HN1	Gv	Lansing	BP	HN		27	1	
50_GVN7HN1-CS	GVN7HN1-CS	3	GVN7HN1	Gv	Lansing	CS	HN		27	1	
51_GVN7HN2-BP	GVN7HN2-BP	3	GVN7HN2	Gv	Lansing	BP	HN		27	2	
52_GVN7HN2-CS	GVN7HN2-CS	3	GVN7HN2	Gv	Lansing	CS	HN		27	2	
53_GVN7HP1-BP	GVN7HP1-BP	3	GVN7HP1	Gv	Lansing	BP	HP		27	1	
54_GVN7HP1-CS	GVN7HP1-CS	3	GVN7HP1	Gv	Lansing	CS	HP		27	1	
55_GVN7HP2-BP	GVN7HP2-BP	3	GVN7HP2	Gv	Lansing	BP	HP		27	2	
56_GVN7HP2-CS	GVN7HP2-CS	3	GVN7HP2	Gv	Lansing	CS	HP		27	2	
